-1.0000,0.8799,0.7998,0.3972,0.8399
-1.0000,0.5700,0.5111,0.2418,0.6258
-1.0000,0.6796,0.4117,0.3370,0.6622
-1.0000,0.3567,0.2967,0.6037,0.5969
-1.0000,0.3866,0.8390,0.0232,0.5316
-1.0000,0.0271,0.7788,0.7445,0.6335
-1.0000,0.8174,0.8422,0.3229,0.8068
-1.0000,0.6027,0.1468,0.3759,0.5342
-1.0000,0.1203,0.3260,0.5419,0.4768
-1.0000,0.1325,0.2082,0.4934,0.4105
-1.0000,0.6950,1.0000,0.4321,0.8404
-1.0000,0.0036,0.1940,0.3274,0.2697
-1.0000,0.2650,0.0161,0.5947,0.4125
-1.0000,0.5849,0.6019,0.4376,0.7464
-1.0000,0.0108,0.3538,0.1810,0.2800
-1.0000,0.9008,0.7264,0.9184,0.9602
-1.0000,0.0023,0.9659,0.3182,0.4986
-1.0000,0.1366,0.6357,0.6967,0.6459
-1.0000,0.8621,0.7353,0.2742,0.7718
-1.0000,0.0682,0.9624,0.4211,0.5764
-1.0000,0.6112,0.6014,0.5254,0.7868
-1.0000,0.0030,0.7585,0.8928,0.6388
-1.0000,0.7644,0.5964,0.0407,0.6055
-1.0000,0.6441,0.2097,0.5847,0.6545
-1.0000,0.0803,0.3799,0.6020,0.4991
-1.0000,0.1908,0.8046,0.5402,0.6665
-1.0000,0.6937,0.3967,0.6055,0.7595
-1.0000,0.2591,0.0582,0.3978,0.3604
-1.0000,0.4241,0.1850,0.9066,0.6298
-1.0000,0.3332,0.9303,0.2475,0.6287
-1.0000,0.3625,0.1592,0.9981,0.5948
-1.0000,0.9259,0.0960,0.1645,0.4716
-1.0000,0.8606,0.6779,0.0033,0.6242
-1.0000,0.0838,0.5472,0.3758,0.4835
-1.0000,0.0303,0.9191,0.7233,0.6491
-1.0000,0.9293,0.8319,0.9664,0.9840
-1.0000,0.7268,0.1440,0.9753,0.7096
-1.0000,0.2888,0.6593,0.4078,0.6328
-1.0000,0.5515,0.1364,0.2894,0.4745
-1.0000,0.7683,0.0067,0.5546,0.5708
-1.0000,0.6462,0.6761,0.8340,0.8933
-1.0000,0.3694,0.2212,0.1233,0.3658
-1.0000,0.2706,0.3222,0.9996,0.6310
-1.0000,0.6282,0.1404,0.8474,0.6733
-1.0000,0.5861,0.6693,0.3818,0.7433
-1.0000,0.6057,0.9901,0.5141,0.8466
-1.0000,0.5915,0.5588,0.3055,0.6787
-1.0000,0.8359,0.4145,0.5016,0.7597
-1.0000,0.5497,0.6319,0.8382,0.8521
-1.0000,0.7072,0.1721,0.3812,0.5772
-1.0000,0.1185,0.5084,0.8376,0.6211
-1.0000,0.6365,0.5562,0.4965,0.7693
-1.0000,0.4145,0.5797,0.8599,0.7878
-1.0000,0.2575,0.5358,0.4028,0.5777
-1.0000,0.2026,0.3300,0.3054,0.4261
-1.0000,0.3385,0.0476,0.5941,0.4625
-1.0000,0.4094,0.1726,0.7803,0.6015
-1.0000,0.1261,0.6181,0.4927,0.5739
-1.0000,0.1224,0.4662,0.2146,0.4007
-1.0000,0.6793,0.6774,1.0000,0.9141
-1.0000,0.8176,0.0358,0.2506,0.4707
-1.0000,0.6937,0.6685,0.5075,0.8220
-1.0000,0.2404,0.5411,0.8754,0.6980
-1.0000,0.6553,0.2609,0.1188,0.4851
-1.0000,0.8886,0.0288,0.2604,0.4802
-1.0000,0.3974,0.5275,0.6457,0.7215
-1.0000,0.2108,0.4910,0.5432,0.5913
-1.0000,0.8675,0.5571,0.1849,0.6805
-1.0000,0.5693,0.0242,0.9293,0.6033
-1.0000,0.8439,0.4631,0.6345,0.8226
-1.0000,0.3644,0.2948,0.3937,0.5240
-1.0000,0.2014,0.6326,0.9782,0.7143
-1.0000,0.4039,0.0645,0.4629,0.4547
-1.0000,0.7137,0.0670,0.2359,0.4602
-1.0000,0.4277,0.9555,0.0000,0.5477
-1.0000,0.0259,0.7634,0.2889,0.4738
-1.0000,0.1871,0.7682,0.9697,0.7397
-1.0000,0.3216,0.5420,0.0677,0.4526
-1.0000,0.2524,0.7688,0.9523,0.7711
